ParticipantID|Sender|Onset|Enter|Typingti|Speed|AppOrig.|Text|Recipients|Blocked|KDels|DDels|DIns|DDels*N|DIns*N|TaggedText|CONDITION|BATCH|STAGE
server|server|0|0|0|0|server|Your score is: 0--Sort the following words in alphabetical order:---CAMOUF-BACKG-|, psych4|OK|0|0|0|0|0|E|W|MIXED|0
server|server|12|12|0|0|server|Your score is: 0--Sort the following words in alphabetical order:---WATER-|, kudos|OK|0|0|0|0|0|E|B|MIXED|0
server|server|36|36|0|0|server|Your score is: 0--Sort the following words in alphabetical order:---SOUND-GRAPPLE-|, maxine|OK|0|0|0|0|0|E|B|MIXED|0
server|server|37|37|0|0|server|Your score is: 0--Sort the following words in alphabetical order:---WENT-|, stanfordstudent|OK|0|0|0|0|0|E|W|MIXED|0
server|server|45|45|0|0|server|Your score is: 0--Sort the following words in alphabetical order:---THATONE-UUUU-|, Claire|OK|0|0|0|0|0|E|B|MIXED|0
server|server|45|45|0|0|server|Your score is: 0--Sort the following words in alphabetical order:---EEE-|, dragon_slayer|OK|0|0|0|0|0|E|W|MIXED|0
server|server|52|52|0|0|server|Your score is: 0--Sort the following words in alphabetical order:---HEAVY-|, anon_person|OK|0|0|0|0|0|E|B|MIXED|0
server|server|52|52|0|0|server|Your score is: 0--Sort the following words in alphabetical order:---HERETIC-MUCUS-|, Michael Hunter|OK|0|0|0|0|0|E|W|MIXED|0
T1LT1L|kudos|4395|17611|13216|0|kudos|/water|, psych4|OK|0|1|0|1|0|E|W|MIXED|0
T1RT1R|Claire|13757|20293|6536|1|Claire|/thatone|, dragon_slayer|OK|0|1|0|1|0|E|W|MIXED|0
T0LT0L|psych4|14109|22082|7973|0|psych4|BACKG|, kudos|OK|2|2|0|2|0|E|B|MIXED|0
T0RT0R|dragon_slayer|14428|17252|2824|3|dragon_slayer|I have EEE|, Claire|OK|1|1|0|1|0|E|B|MIXED|0
T2LT2L|maxine|16456|22274|5818|1|maxine|/grapple|, stanfordstudent|OK|0|1|0|1|0|E|W|MIXED|0
server|server|17628|17628|0|0|kudos|****OTHER PARTICIPANT TRIED TO SELECT ONE OF YOUR ITEMS INSTEAD OF THEIRS|, psych4|OK|0|0|0|0|0|E|W|MIXED|0
t3lt3l|stanfordstudent|18981|34044|15063|0|stanfordstudent|/went|, maxine|OK|0|0|0|0|0|E|B|MIXED|0
T1LT1L|kudos|19274|30489|11215|0|kudos|/restart|, psych4|OK|0|1|0|1|0|E|W|MIXED|0
server|server|20297|20297|0|0|Claire|****OTHER PARTICIPANT TRIED TO SELECT ONE OF YOUR ITEMS INSTEAD OF THEIRS|, dragon_slayer|OK|0|0|0|0|0|E|W|MIXED|0
server|server|22275|22275|0|0|maxine|****OTHER PARTICIPANT TRIED TO SELECT ONE OF YOUR ITEMS INSTEAD OF THEIRS|, stanfordstudent|OK|0|0|0|0|0|E|W|MIXED|0
T3RT3R|Michael Hunter|24144|30301|6157|1|Michael Hunter|/heretic|, anon_person|OK|0|1|0|1|0|E|B|MIXED|0
T0LT0L|psych4|25094|27325|2231|2|psych4|CAMOUF|, kudos|OK|0|0|0|0|0|E|B|MIXED|0
T2LT2L|maxine|26017|30127|4110|1|maxine|/sound|, stanfordstudent|OK|0|0|0|0|0|E|W|MIXED|0
T1RT1R|Claire|27243|29226|1983|3|Claire|and uuu|, dragon_slayer|OK|0|0|0|0|0|E|W|MIXED|0
T0RT0R|dragon_slayer|27895|43970|16075|1|dragon_slayer|okay I'll go first and type /eee|, Claire|OK|23|16|0|16|0|E|B|MIXED|0
server|server|30139|30139|0|0|maxine|****OTHER PARTICIPANT TRIED TO SELECT ONE OF YOUR ITEMS INSTEAD OF THEIRS|, stanfordstudent|OK|0|0|0|0|0|E|W|MIXED|0
server|server|30303|30303|0|0|Michael Hunter|****OTHER PARTICIPANT TRIED TO SELECT ONE OF YOUR ITEMS INSTEAD OF THEIRS|, anon_person|OK|0|0|0|0|0|E|B|MIXED|0
server|server|30498|30498|0|0|kudos|*****The list of items is deleted....start again |, psych4|OK|0|0|0|0|0|E|W|MIXED|0
server|server|34044|34044|0|0|stanfordstudent|****OTHER PARTICIPANT TRIED TO SELECT ONE OF YOUR ITEMS INSTEAD OF THEIRS|, maxine|OK|0|0|0|0|0|E|B|MIXED|0
T2LT2L|maxine|34079|94502|60423|0|maxine|/restart|, stanfordstudent|OK|0|8|0|8|0|E|W|MIXED|0
T1LT1L|kudos|38791|42998|4207|1|kudos|/WATER|, psych4|OK|0|0|0|0|0|E|W|MIXED|0
T3RT3R|Michael Hunter|39688|60028|20340|0|Michael Hunter|/mucus|, anon_person|OK|0|1|0|1|0|E|B|MIXED|0
server|server|43005|43005|0|0|kudos|****OTHER PARTICIPANT TRIED TO SELECT ONE OF YOUR ITEMS INSTEAD OF THEIRS|, psych4|OK|0|0|0|0|0|E|W|MIXED|0
T0RT0R|dragon_slayer|45175|46439|1264|3|dragon_slayer|/eee|, Claire|OK|0|0|0|0|0|E|B|MIXED|0
server|server|46440|46440|0|0|dragon_slayer|****OTHER PARTICIPANT TRIED TO SELECT ONE OF YOUR ITEMS INSTEAD OF THEIRS|, Claire|OK|0|0|0|0|0|E|B|MIXED|0
T1LT1L|kudos|47762|56633|8871|0|kudos|/WATER|, psych4|OK|0|5|0|5|0|E|W|MIXED|0
T0LT0L|psych4|48288|50639|2351|2|psych4|BACKG|, kudos|OK|0|0|0|0|0|E|B|MIXED|0
T0LT0L|psych4|51539|53722|2183|3|psych4|CAMOUF'|, kudos|OK|1|1|0|1|0|E|B|MIXED|0
T2RT2R|anon_person|52556|122396|69840|0|anon_person|heavy|, Michael Hunter|OK|11|5|0|5|0|E|W|MIXED|0
T1RT1R|Claire|56158|61285|5127|6|Claire|ohhh wait i have to write yours|, dragon_slayer|OK|0|0|0|0|0|E|W|MIXED|0
server|server|56635|56635|0|0|kudos|****OTHER PARTICIPANT TRIED TO SELECT ONE OF YOUR ITEMS INSTEAD OF THEIRS|, psych4|OK|0|0|0|0|0|E|W|MIXED|0
T0RT0R|dragon_slayer|57126|58327|1201|3|dragon_slayer|/EEE|, Claire|OK|0|0|0|0|0|E|B|MIXED|0
server|server|58328|58328|0|0|dragon_slayer|****OTHER PARTICIPANT TRIED TO SELECT ONE OF YOUR ITEMS INSTEAD OF THEIRS|, Claire|OK|0|0|0|0|0|E|B|MIXED|0
T1LT1L|kudos|58479|59599|1120|4|kudos|/next|, psych4|OK|0|0|0|0|0|E|W|MIXED|0
t3lt3l|stanfordstudent|58718|65406|6688|1|stanfordstudent|/restart|, maxine|OK|0|0|0|0|0|E|B|MIXED|0
server|server|59607|59607|0|0|kudos|****CAN'T GO TO NEXT STEP. SELECTION IS INCORRECT. PLEASE START AGAIN|, psych4|OK|0|0|0|0|0|E|W|MIXED|0
